number,created_at,html_url,state,fixed_at,dismissed_by,dismissed_at,dismissed_reason,rule_id,rule_severity,security_severity_level,rule_tags,rule_description,rule_name,tool_name,tool_version,most_recent_instance_ref,most_recent_instance_state,most_recent_instance_sha,instances_url
29,2025-02-11T01:46:24Z,https://github.com/davidkhala/ci-cd-utils/security/code-scanning/29,open,,,,,actions/missing-workflow-permissions,note,medium,"['actions', 'external/cwe/cwe-275', 'maintainability']",Workflow does not contain permissions,actions/missing-workflow-permissions,CodeQL,2.20.4,refs/heads/master,open,2498a4147160c74601bcae01b0feb26c1eb1f563,https://api.github.com/repos/davidkhala/ci-cd-utils/code-scanning/alerts/29/instances
28,2025-01-09T06:06:15Z,https://github.com/davidkhala/ci-cd-utils/security/code-scanning/28,fixed,2025-01-12T11:47:48Z,,,,actions/unnecessary-use-of-advanced-config,note,,"['actions', 'maintainability']",Workflow Should Use Default Setup,actions/unnecessary-use-of-advanced-config,CodeQL,2.20.4,refs/heads/master,fixed,ce77674415de4f917669ab76b0114c8ee93ae256,https://api.github.com/repos/davidkhala/ci-cd-utils/code-scanning/alerts/28/instances
27,2025-01-09T06:06:15Z,https://github.com/davidkhala/ci-cd-utils/security/code-scanning/27,open,,,,,actions/missing-workflow-permissions,note,medium,"['actions', 'external/cwe/cwe-275', 'maintainability']",Workflow does not contain permissions,actions/missing-workflow-permissions,CodeQL,2.20.4,refs/heads/master,open,2498a4147160c74601bcae01b0feb26c1eb1f563,https://api.github.com/repos/davidkhala/ci-cd-utils/code-scanning/alerts/27/instances
26,2025-01-09T06:06:15Z,https://github.com/davidkhala/ci-cd-utils/security/code-scanning/26,open,,,,,actions/missing-workflow-permissions,note,medium,"['actions', 'external/cwe/cwe-275', 'maintainability']",Workflow does not contain permissions,actions/missing-workflow-permissions,CodeQL,2.20.4,refs/heads/master,open,2498a4147160c74601bcae01b0feb26c1eb1f563,https://api.github.com/repos/davidkhala/ci-cd-utils/code-scanning/alerts/26/instances
25,2025-01-09T06:06:15Z,https://github.com/davidkhala/ci-cd-utils/security/code-scanning/25,open,,,,,actions/missing-workflow-permissions,note,medium,"['actions', 'external/cwe/cwe-275', 'maintainability']",Workflow does not contain permissions,actions/missing-workflow-permissions,CodeQL,2.20.4,refs/heads/master,open,2498a4147160c74601bcae01b0feb26c1eb1f563,https://api.github.com/repos/davidkhala/ci-cd-utils/code-scanning/alerts/25/instances
24,2025-01-09T06:06:15Z,https://github.com/davidkhala/ci-cd-utils/security/code-scanning/24,open,,,,,actions/missing-workflow-permissions,note,medium,"['actions', 'external/cwe/cwe-275', 'maintainability']",Workflow does not contain permissions,actions/missing-workflow-permissions,CodeQL,2.20.4,refs/heads/master,open,2498a4147160c74601bcae01b0feb26c1eb1f563,https://api.github.com/repos/davidkhala/ci-cd-utils/code-scanning/alerts/24/instances
23,2025-01-09T06:06:15Z,https://github.com/davidkhala/ci-cd-utils/security/code-scanning/23,open,,,,,actions/missing-workflow-permissions,note,medium,"['actions', 'external/cwe/cwe-275', 'maintainability']",Workflow does not contain permissions,actions/missing-workflow-permissions,CodeQL,2.20.4,refs/heads/master,open,2498a4147160c74601bcae01b0feb26c1eb1f563,https://api.github.com/repos/davidkhala/ci-cd-utils/code-scanning/alerts/23/instances
22,2025-01-09T06:06:15Z,https://github.com/davidkhala/ci-cd-utils/security/code-scanning/22,open,,,,,actions/missing-workflow-permissions,note,medium,"['actions', 'external/cwe/cwe-275', 'maintainability']",Workflow does not contain permissions,actions/missing-workflow-permissions,CodeQL,2.20.4,refs/heads/master,open,2498a4147160c74601bcae01b0feb26c1eb1f563,https://api.github.com/repos/davidkhala/ci-cd-utils/code-scanning/alerts/22/instances
21,2025-01-09T06:06:15Z,https://github.com/davidkhala/ci-cd-utils/security/code-scanning/21,open,,,,,actions/missing-workflow-permissions,note,medium,"['actions', 'external/cwe/cwe-275', 'maintainability']",Workflow does not contain permissions,actions/missing-workflow-permissions,CodeQL,2.20.4,refs/heads/master,open,2498a4147160c74601bcae01b0feb26c1eb1f563,https://api.github.com/repos/davidkhala/ci-cd-utils/code-scanning/alerts/21/instances
20,2025-01-09T06:06:15Z,https://github.com/davidkhala/ci-cd-utils/security/code-scanning/20,fixed,2025-01-12T11:47:48Z,,,,actions/missing-workflow-permissions,note,medium,"['actions', 'external/cwe/cwe-275', 'maintainability']",Workflow does not contain permissions,actions/missing-workflow-permissions,CodeQL,2.20.4,refs/heads/master,fixed,ce77674415de4f917669ab76b0114c8ee93ae256,https://api.github.com/repos/davidkhala/ci-cd-utils/code-scanning/alerts/20/instances
